"","rand_survey_id","id","year","fec","post","livelihoods_Z","income_Z_t","assets_Z_t","durableLoan_t","susFarm","lab_index","inc_ntfp_t","inc_farm_wage_t","totalIncome_t_us","consumptionExp_t_us","irregularExp_t_us","durableLoan_t_us","susFarm_us","inc_farm_wage_t_us","inc_ntfp_t_us","lab_index_us"
"1121",963,561,2010,0,0,-1.20750500409387,-0.648646760580731,-1.479429055392,-0.343793346057863,-0.319148425395377,-1.5107859785903,0.667604069535434,1.74217317749602,7.1623980982806,6.19440955600993,6.4297220794858,0,0,5.99147079704939,2.99822295029797,0
"1122",963,561,2014,0,1,-0.778861256574573,-0.686615060540482,-0.59470581411471,-0.343793346057863,3.20212253480029,-1.5107859785903,-0.727056542736264,0.70120805202568,7.21229501235176,4.91270894709587,6.32793997248945,0,3,3.68950386898891,0,0
"1123",832,562,2010,0,0,-0.491145013290188,-0.0326735055582119,-0.482730486929852,-0.343793346057863,-0.319148425395377,-0.20764357051715,-0.727056542736264,-0.967210729794636,6.24611052124431,5.18181511046949,8.15765709729759,0,0,0,0,1.2
"1124",832,562,2014,0,1,0.832994506453866,1.39881768550594,1.15185330837935,-0.343793346057863,-0.319148425395377,-0.424833971862676,-0.727056542736264,-0.967210729794636,7.18538758950095,5.66989281337487,8.91193435432462,0,0,0,0,1
"1125",464,563,2010,1,0,-0.12369044106131,0.715906474673644,-0.278304930247975,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,-0.967210729794636,6.25383250977981,4.49993310426429,8.68609175641165,0,0,0,0,1.8
"1126",464,563,2014,1,1,0.335157629069007,0.312821427363232,0.925815976438121,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,-0.967210729794636,5.29834236561059,5.44675595022109,8.49290054083859,0,0,0,0,0
"1127",564,564,2010,1,0,-0.637642401887904,-0.594375909737197,-0.37752011909648,-0.343793346057863,NA,0.443927633519425,-0.727056542736264,-0.967210729794636,7.3651805265976,4.92730619099864,6.46770113726804,0,NA,0,0,1.8
"1128",564,564,2014,1,1,-0.479471655855707,-0.665356820867426,-0.0106493333731469,-0.343793346057863,3.20212253480029,1.02310203710749,-0.727056542736264,-0.967210729794636,6.86693436952956,4.73627538626766,6.93731502381826,0,3,0,0,2.33333333333333
"1129",248,565,2010,1,0,0.552330031925178,-0.687986842182675,-0.714373993077083,1.66331684145092,-0.319148425395377,1.095498837556,1.3661431833719,0.70120805202568,6.96602507710136,6.48004691428389,6.4861631127016,3.68950386898891,0,3.68950386898891,4.49993310426429,2.4
"1130",248,565,2014,1,1,0.0380995155838178,-0.236751469805974,0.721124034267605,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,0.571335511217306,7.2152405193871,3.33347758688399,7.63143189976889,0,0,3.40230664548059,0,0
"1131",797,566,2010,1,0,-1.0074784228938,-0.786191696089645,-0.981587579731952,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,1.51117937511524,7.10660680958903,5.93490119423036,5.59843567613726,0,0,5.48065628400101,0,1.8
"1132",797,566,2014,1,1,-0.183231914075559,-0.445011446331599,0.425904303679786,-0.343793346057863,-0.319148425395377,0.661118034864951,-0.727056542736264,0.388606111707338,7.03702838685992,6.06843094656867,7.28619218383322,0,0,2.99822295029797,0,2
